,stockCode,stockName,performance,summary
178,000670,*ST盈方,预计扭亏,净利润1000万元至1300万元
179,000673,*ST当代,预计增亏,净利润-3000万元至-2100万元
180,000678,襄阳轴承,预计扭亏,净利润500万元左右
181,000679,*ST友谊,预计减亏,"净利润-1200万元至-900万元,增长幅度为82.47%至86.86%"
182,000683,远兴能源,预计扭亏,"净利润32000万元至35000万元,增长幅度为740.69%至800.76%"
183,000687,*ST华讯,预计续亏,净利润-5500万元至-3700万元
184,000688,国城矿业,业绩大幅上升,"净利润4510万元至5860万元,增长幅度为71.57%至122.92%"
185,000691,亚太实业,业绩大幅上升,"净利润700万元至900万元,增长幅度为40.40%至80.52%"
186,000692,惠天热电,预计扭亏,净利润12000万元至16000万元
187,000695,滨海能源,预计续亏,净利润-900万元至-600万元
188,000697,炼石航空,预计增亏,净利润-4600万元左右
189,000698,沈阳化工,预计扭亏,净利润27000万元至35000万元
190,000700,模塑科技,预计扭亏,"净利润8000万元至8500万元,增长幅度为149.67%至152.78%"
191,000701,厦门信达,业绩大幅上升,"净利润450万元左右,增长幅度为167.44%左右"
192,000702,正虹科技,预计增亏,净利润-610万元至-470万元
193,000709,河钢股份,业绩大幅上升,"净利润44000万元至50000万元,增长幅度为91.80%至117.96%"
194,000710,贝瑞基因,业绩大幅下降,"净利润2000万元至3000万元,下降幅度为68%至52%"
195,000711,京蓝科技,预计增亏,"净利润-9500万元至-6500万元,下降幅度为90.59%至30.4%"
196,000712,锦龙股份,业绩大幅下降,"净利润778.0万元至1144.0万元,下降幅度为83%至75%"
197,000716,黑芝麻,预计扭亏,"净利润1000万元至1500万元,增长幅度为137.35%至156.02%"
198,000720,新能泰山,预计减亏,净利润-1450万元至-1150万元
199,000727,华东科技,预计扭亏,"净利润17700万元至22300万元,增长幅度为144.93%至156.60%"
200,000729,燕京啤酒,预计减亏,"净利润-12000万元至-10000万元,增长幅度为51%至59%"
